,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.18,0.06,-0.06,-0.13,0.02,0.06,-0.13,0.02,-0.12
1,-0.18,1.0,-0.13,-0.03,-0.01,-0.13,-0.14,0.21,-0.04,-0.05
2,0.06,-0.13,1.0,-0.1,-0.14,-0.06,0.07,-0.09,-0.01,-0.13
3,-0.06,-0.03,-0.1,1.0,-0.13,0.02,-0.18,-0.14,-0.04,-0.05
4,-0.13,-0.01,-0.14,-0.13,1.0,-0.0,-0.06,0.21,0.08,0.26
5,0.02,-0.13,-0.06,0.02,-0.0,1.0,0.04,-0.05,0.03,-0.04
6,0.06,-0.14,0.07,-0.18,-0.06,0.04,1.0,-0.16,-0.05,-0.07
7,-0.13,0.21,-0.09,-0.14,0.21,-0.05,-0.16,1.0,-0.08,0.18
8,0.02,-0.04,-0.01,-0.04,0.08,0.03,-0.05,-0.08,1.0,0.09
9,-0.12,-0.05,-0.13,-0.05,0.26,-0.04,-0.07,0.18,0.09,1.0
