,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.07,-0.01,-0.0,0.01,0.04,-0.14,-0.06,0.06,-0.03
1,-0.07,1.0,-0.01,-0.05,-0.1,-0.13,0.05,0.05,0.07,-0.04
2,-0.01,-0.01,1.0,-0.06,-0.09,-0.01,-0.04,-0.07,-0.03,-0.06
3,-0.0,-0.05,-0.06,1.0,0.05,-0.12,0.01,-0.15,-0.05,0.07
4,0.01,-0.1,-0.09,0.05,1.0,0.01,0.06,0.01,0.03,0.01
5,0.04,-0.13,-0.01,-0.12,0.01,1.0,-0.01,-0.05,0.09,0.1
6,-0.14,0.05,-0.04,0.01,0.06,-0.01,1.0,-0.05,0.12,-0.13
7,-0.06,0.05,-0.07,-0.15,0.01,-0.05,-0.05,1.0,-0.02,0.03
8,0.06,0.07,-0.03,-0.05,0.03,0.09,0.12,-0.02,1.0,-0.05
9,-0.03,-0.04,-0.06,0.07,0.01,0.1,-0.13,0.03,-0.05,1.0
