,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.21,-0.03,0.0,-0.03,-0.01,0.07,-0.15,-0.04,-0.13
1,-0.21,1.0,0.04,-0.16,0.11,-0.17,-0.03,0.14,-0.14,-0.02
2,-0.03,0.04,1.0,-0.0,-0.12,-0.17,-0.01,-0.02,0.02,-0.1
3,0.0,-0.16,-0.0,1.0,-0.3,0.15,-0.14,-0.14,0.05,-0.2
4,-0.03,0.11,-0.12,-0.3,1.0,-0.01,-0.1,0.17,-0.05,0.24
5,-0.01,-0.17,-0.17,0.15,-0.01,1.0,-0.0,-0.11,0.13,-0.09
6,0.07,-0.03,-0.01,-0.14,-0.1,-0.0,1.0,-0.13,-0.08,-0.14
7,-0.15,0.14,-0.02,-0.14,0.17,-0.11,-0.13,1.0,-0.15,0.15
8,-0.04,-0.14,0.02,0.05,-0.05,0.13,-0.08,-0.15,1.0,-0.06
9,-0.13,-0.02,-0.1,-0.2,0.24,-0.09,-0.14,0.15,-0.06,1.0
