,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.01,-0.01,0.04,-0.06,0.06,-0.1,-0.09,0.02,-0.15
1,-0.01,1.0,-0.13,-0.15,-0.15,-0.05,0.09,0.05,-0.05,-0.13
2,-0.01,-0.13,1.0,0.03,-0.02,-0.06,-0.0,-0.1,0.07,-0.05
3,0.04,-0.15,0.03,1.0,0.1,-0.13,0.03,-0.2,0.11,0.06
4,-0.06,-0.15,-0.02,0.1,1.0,-0.06,-0.04,-0.04,0.1,0.08
5,0.06,-0.05,-0.06,-0.13,-0.06,1.0,0.04,0.02,0.08,0.06
6,-0.1,0.09,-0.0,0.03,-0.04,0.04,1.0,-0.11,0.07,-0.2
7,-0.09,0.05,-0.1,-0.2,-0.04,0.02,-0.11,1.0,-0.13,0.1
8,0.02,-0.05,0.07,0.11,0.1,0.08,0.07,-0.13,1.0,0.01
9,-0.15,-0.13,-0.05,0.06,0.08,0.06,-0.2,0.1,0.01,1.0
