,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.26,-0.01,-0.08,-0.1,0.03,0.12,-0.1,0.09,-0.0
1,-0.26,1.0,-0.1,-0.02,0.1,-0.04,-0.12,0.15,-0.08,-0.0
2,-0.01,-0.1,1.0,-0.16,-0.07,-0.11,0.04,-0.05,0.02,-0.16
3,-0.08,-0.02,-0.16,1.0,-0.09,0.01,-0.15,-0.08,0.04,-0.12
4,-0.1,0.1,-0.07,-0.09,1.0,-0.07,0.01,0.1,-0.02,0.24
5,0.03,-0.04,-0.11,0.01,-0.07,1.0,-0.03,0.0,0.07,0.12
6,0.12,-0.12,0.04,-0.15,0.01,-0.03,1.0,-0.12,-0.07,-0.15
7,-0.1,0.15,-0.05,-0.08,0.1,0.0,-0.12,1.0,-0.14,0.21
8,0.09,-0.08,0.02,0.04,-0.02,0.07,-0.07,-0.14,1.0,0.11
9,-0.0,-0.0,-0.16,-0.12,0.24,0.12,-0.15,0.21,0.11,1.0
